Scenario ID,Date,Event Type,Process Area,Loss Amount (kUSD),Frequency (Nk),Severity (Xi),OpVar (%),ML,GDP (%),VIX,Target
ALE-0302,Synth-2022,Cyber-Fraud,ATM Network,169.84,4,1.15,1.49,1.6,3.0,22,0
ALE-1159,Synth-2022,Phishing,E-Banking,86.18,3,1.41,1.86,1.41,2.5,28,2
ALE-0121,Synth-2022,Cyber-Fraud,Online Services,46.53,3,2.68,2.35,1.84,3.1,27,0
OLE-0760,2023-11-18,Cyber-Fraud,Retail Banking,85.32,5,0.42,1.04,1.0,2.6,22,2
ALE-0017,Synth-2022,Data Breach,E-Banking,111.74,4,1.14,3.18,3.22,3.4,25,0
OLE-0110,2022-12-14,Tech Failure,Payments,77.12,4,0.73,1.48,1.0,3.7,14,2
ALE-0320,Synth-2022,Phishing,ATM Network,144.96,4,1.08,2.15,2.65,3.8,29,1
OLE-0260,2023-05-25,Cyber-Fraud,ATM Network,41.98,2,1.15,0.92,1.0,3.0,20,2
ALE-0840,Synth-2022,System Failure,Retail Banking,171.13,2,2.73,3.08,2.5,4.0,23,2
OLE-0480,2022-08-23,Tech Failure,E-Banking,23.7,1,1.45,1.39,1.0,3.5,21,1
ALE-0250,Synth-2022,Tech Failure,Payments,199.57,1,0.87,1.79,1.25,3.7,22,0
OLE-0837,2022-07-08,Cyber-Fraud,Payments,95.33,4,0.63,0.9,1.0,3.7,15,1
ALE-1149,Synth-2022,System Failure,Online Services,104.39,5,2.58,1.8,1.32,2.9,17,1
OLE-0071,2022-04-29,Tech Failure,ATM Network,50.89,1,0.65,1.27,1.0,3.4,15,2
OLE-0232,2023-11-30,Tech Failure,E-Banking,32.07,5,0.34,0.68,1.0,3.8,22,0
OLE-0291,2023-11-12,Cyber-Fraud,Payments,34.75,3,0.7,1.25,1.0,3.4,24,0
ALE-0335,Synth-2022,Phishing,Online Services,192.93,5,1.67,2.14,1.79,2.8,21,0
OLE-0619,2023-09-16,Cyber-Fraud,Retail Banking,57.33,5,0.92,1.49,1.0,3.4,14,1
OLE-0298,2022-03-12,Tech Failure,Retail Banking,102.76,1,0.94,1.01,1.0,3.7,22,0
ALE-0880,Synth-2022,System Failure,Online Services,104.03,1,1.32,2.42,2.75,3.3,24,1
ALE-0227,Synth-2022,Tech Failure,Retail Banking,46.37,4,2.93,3.41,3.25,2.6,29,1
OLE-0411,2022-12-07,Tech Failure,Payments,44.84,4,0.79,0.63,1.0,2.8,19,1
ALE-0826,Synth-2022,System Failure,Payments,81.88,4,1.67,1.97,1.9,2.8,28,2
OLE-0586,2023-04-05,Tech Failure,Payments,58.38,4,1.11,0.8,1.0,2.8,18,1
ALE-0321,Synth-2022,System Failure,Payments,120.28,4,1.22,1.82,1.55,3.7,26,2
ALE-0179,Synth-2022,Data Breach,ATM Network,126.81,5,1.44,2.53,2.99,2.8,17,0
ALE-0979,Synth-2022,Cyber-Fraud,ATM Network,18.2,2,1.87,3.02,2.1,3.1,29,0
ALE-0046,Synth-2022,Tech Failure,ATM Network,158.24,2,2.46,3.43,2.55,2.5,18,1
OLE-0368,2023-10-23,Data Breach,Retail Banking,5.0,2,0.71,1.33,1.0,3.9,21,1
OLE-0832,2022-09-11,Cyber-Fraud,Retail Banking,21.04,3,0.79,0.79,1.0,3.3,22,2
OLE-0248,2022-06-29,Tech Failure,Payments,103.86,2,1.27,0.7,1.0,3.0,19,0
ALE-1054,Synth-2022,Cyber-Fraud,Online Services,197.22,4,2.81,3.43,2.72,4.0,24,1
ALE-0423,Synth-2022,Tech Failure,ATM Network,61.13,1,2.08,3.38,2.97,3.9,15,0
OLE-0136,2022-04-26,System Failure,Payments,43.44,3,0.57,1.23,1.0,3.4,24,1
ALE-0778,Synth-2022,Phishing,Online Services,146.89,5,2.74,2.55,1.9,2.9,19,0
OLE-0241,2023-03-16,System Failure,ATM Network,74.36,1,1.32,0.92,1.0,3.0,18,0
OLE-0580,2022-11-09,Tech Failure,ATM Network,81.82,5,0.65,0.7,1.0,2.9,14,1
ALE-0893,Synth-2022,Cyber-Fraud,Retail Banking,136.98,2,1.15,2.89,2.62,3.2,25,0
ALE-0859,Synth-2022,Cyber-Fraud,E-Banking,91.93,4,2.4,3.37,2.75,3.6,15,2
OLE-0850,2022-03-11,System Failure,Retail Banking,20.54,3,1.28,0.73,1.0,2.8,22,1
OLE-0290,2022-07-03,Data Breach,Retail Banking,5.0,4,1.0,0.62,1.0,2.8,24,1
OLE-0307,2022-01-06,Tech Failure,Payments,15.53,2,1.39,1.26,1.0,3.4,23,1
ALE-0795,Synth-2022,Cyber-Fraud,Payments,113.67,3,2.45,2.11,2.23,3.3,18,1
OLE-0842,2023-06-30,Data Breach,Payments,40.89,1,1.1,1.31,1.0,3.3,14,1
ALE-0082,Synth-2022,System Failure,Retail Banking,186.46,1,1.71,1.95,1.59,3.9,18,0
ALE-0108,Synth-2022,System Failure,Retail Banking,129.53,3,2.74,2.54,2.86,3.2,27,1
ALE-0245,Synth-2022,Phishing,ATM Network,68.33,3,1.12,1.22,0.89,2.8,29,0
OLE-0343,2022-03-19,System Failure,ATM Network,66.26,3,1.49,1.16,1.0,2.8,20,2
OLE-0308,2023-06-26,Tech Failure,Payments,5.0,5,0.95,1.26,1.0,3.0,24,1
OLE-0671,2022-11-03,System Failure,ATM Network,76.06,3,0.85,0.76,1.0,3.8,14,0
ALE-0446,Synth-2022,Tech Failure,Payments,220.49,2,1.19,2.3,2.01,3.2,26,0
OLE-0675,2023-04-30,Tech Failure,Retail Banking,100.59,5,0.42,0.67,1.0,3.9,18,1
ALE-0634,Synth-2022,System Failure,Online Services,123.94,2,1.55,1.97,2.38,3.4,20,2
ALE-1094,Synth-2022,Phishing,Payments,114.82,2,2.3,3.25,3.18,2.8,25,2
OLE-0410,2023-08-22,Tech Failure,ATM Network,13.34,4,0.49,1.07,1.0,3.7,24,2
OLE-0508,2023-08-30,System Failure,Retail Banking,54.25,3,0.67,0.56,1.0,2.8,16,1
OLE-0283,2023-07-20,System Failure,E-Banking,17.45,2,0.94,0.86,1.0,3.0,17,0
ALE-1216,Synth-2022,Phishing,Retail Banking,340.16,3,2.49,1.36,0.94,2.6,29,0
OLE-0101,2022-05-18,System Failure,ATM Network,60.65,2,0.63,1.26,1.0,3.2,19,0
ALE-1253,Synth-2022,Data Breach,Payments,16.39,5,2.44,2.42,1.97,3.1,16,1
ALE-0210,Synth-2022,Tech Failure,Online Services,10.0,5,0.8,3.2,3.9,3.6,19,0
ALE-1079,Synth-2022,Cyber-Fraud,E-Banking,115.69,5,0.94,3.24,2.3,3.0,15,0
ALE-0648,Synth-2022,Tech Failure,Payments,153.34,1,1.57,1.58,1.92,3.1,20,1
ALE-0066,Synth-2022,Data Breach,ATM Network,126.7,4,2.43,3.07,3.45,2.5,25,0
ALE-0587,Synth-2022,System Failure,E-Banking,303.1,5,2.12,3.45,2.76,2.5,17,2
OLE-0369,2023-10-27,Data Breach,Retail Banking,17.14,5,0.84,1.0,1.0,2.9,19,1
ALE-0529,Synth-2022,Phishing,E-Banking,125.87,2,2.13,2.48,1.97,2.7,28,1
OLE-0169,2022-03-27,Cyber-Fraud,Payments,5.0,4,1.0,1.5,1.0,2.7,15,2
ALE-0968,Synth-2022,System Failure,Online Services,161.55,1,2.44,2.64,2.42,3.9,29,0
ALE-1288,Synth-2022,Tech Failure,E-Banking,205.75,4,1.17,3.16,3.09,3.4,25,1
ALE-0822,Synth-2022,Data Breach,ATM Network,177.67,3,2.74,2.05,2.4,3.9,29,0
ALE-0813,Synth-2022,Data Breach,ATM Network,183.34,5,1.51,2.31,1.9,2.9,16,2
ALE-0406,Synth-2022,Cyber-Fraud,Retail Banking,90.49,1,2.22,1.97,2.39,2.9,25,1
ALE-0792,Synth-2022,Cyber-Fraud,Retail Banking,120.55,2,1.34,2.12,1.63,3.8,27,2
OLE-0591,2023-01-03,Data Breach,ATM Network,45.23,5,0.7,1.2,1.0,3.6,16,1
ALE-0546,Synth-2022,Data Breach,E-Banking,182.33,3,1.79,2.45,2.82,3.9,17,1
OLE-0536,2022-12-23,Cyber-Fraud,Retail Banking,50.05,5,0.77,1.04,1.0,2.7,16,1
ALE-0480,Synth-2022,Data Breach,ATM Network,89.19,2,1.53,2.12,1.93,3.4,22,0
OLE-0495,2023-10-07,Tech Failure,ATM Network,90.11,1,0.65,0.77,1.0,3.0,22,0
OLE-0112,2022-03-01,System Failure,E-Banking,81.98,4,1.34,0.74,1.0,3.2,23,1
OLE-0304,2022-04-22,Cyber-Fraud,Retail Banking,93.71,3,1.3,1.34,1.0,3.1,15,0
OLE-0097,2022-04-26,Tech Failure,Retail Banking,37.66,5,1.31,0.69,1.0,3.7,23,0
ALE-0168,Synth-2022,Phishing,ATM Network,225.99,1,1.33,1.59,1.36,2.9,19,0
ALE-0086,Synth-2022,System Failure,E-Banking,216.44,3,1.8,2.33,2.82,2.8,22,1
OLE-0841,2023-02-09,Data Breach,E-Banking,90.9,1,0.81,0.83,1.0,3.0,18,1
OLE-0276,2023-11-18,System Failure,ATM Network,5.0,3,0.95,0.77,1.0,3.1,19,0
ALE-0271,Synth-2022,Cyber-Fraud,Retail Banking,199.04,5,1.29,1.43,0.99,3.3,25,2
OLE-0212,2022-09-08,Data Breach,Payments,73.67,2,1.02,0.97,1.0,2.6,23,1
OLE-0300,2022-12-27,System Failure,Payments,49.69,4,0.52,1.24,1.0,3.8,17,0
ALE-0959,Synth-2022,Cyber-Fraud,ATM Network,155.99,4,1.7,1.91,1.89,3.0,22,2
ALE-0177,Synth-2022,Tech Failure,Payments,119.85,3,0.95,3.49,3.48,2.7,21,0
OLE-0809,2023-03-01,Tech Failure,ATM Network,107.0,4,0.55,1.02,1.0,3.2,23,2
OLE-0234,2023-07-04,Cyber-Fraud,ATM Network,34.19,2,1.37,0.92,1.0,3.7,23,2
ALE-0709,Synth-2022,Cyber-Fraud,ATM Network,153.52,5,1.26,1.49,1.6,2.5,25,2
ALE-0064,Synth-2022,Tech Failure,Retail Banking,100.73,5,1.9,2.99,2.15,3.4,16,2
OLE-0451,2022-11-09,Data Breach,Retail Banking,97.5,4,0.78,0.96,1.0,3.1,20,1
OLE-0441,2023-11-01,Tech Failure,ATM Network,5.0,3,0.63,1.27,1.0,3.5,20,2
